# 2016 12 15 14 25 14.36  11.8803  141.4615   12.00 -2.00  0.00  0.00  0.00          1
Y07        27.480   1.000   S
Y06        12.020   1.000   P
Y06        22.020   1.000   S
Y40         7.040   1.000   P
Y40        11.160   1.000   S
# 2016 12 19  0 13 19.02  11.6280  141.4620   10.80 -2.00  0.00  0.00  0.00         37
Y03         8.070   1.000   P
Y09         7.610   1.000   P
Y85        13.410   1.000   P
Y85        23.530   1.000   S
Y40        10.100   1.000   P
# 2016 12 19  0 35 44.38  12.1318  141.4463   10.00 -2.00  0.00  0.00  0.00         38
Y03         5.610   1.000   P
Y85         4.520   1.000   P
Y07        10.060   1.000   P
Y07        10.200   1.000   S
# 2016 12 19  2 50 58.41  11.7630  142.3372   12.00 -2.00  0.00  0.00  0.00         39
Y40         8.610   1.000   P
Y40         9.540   1.000   S
Y09        14.470   1.000   P
Y09        21.420   1.000   S
Y07        13.980   1.000   P
Y07        16.140   1.000   S
Y06        12.340   1.000   S
# 2016 12 19 11 18 15.66  11.4147  141.7253   10.00 -2.00  0.00  0.00  0.00         40
Y85         9.370   1.000   P
Y09        10.340   1.000   P
Y09        16.060   1.000   S
Y40         6.340   1.000   P
Y40        11.580   1.000   S
Y03         9.440   1.000   P
# 2016 12 19 16 46 53.53  12.9740  142.7632    9.80 -2.00  0.00  0.00  0.00         41
Y03        27.070   1.000   P
Y85        31.500   1.000   P
Y07        41.410   1.000   S
Y09        28.470   1.000   P
Y06        44.270   1.000   S
Y40        30.480   1.000   P
# 2016 12 20  1 51 15.66  11.5550  141.5808   31.10 -2.00  0.00  0.00  0.00         42
Y40         8.330   1.000   P
Y40        15.350   1.000   S
Y09         8.800   1.000   P
Y09        14.580   1.000   S
Y85         9.350   1.000   P
Y07        14.400   1.000   P
Y07        22.590   1.000   S
Y06        12.330   1.000   P
# 2016 12 20  2 31 52.13  11.7183  141.6475   13.50 -2.00  0.00  0.00  0.00         43
Y03         8.880   1.000   P
Y85         8.910   1.000   P
Y07        11.890   1.000   P
Y07        19.140   1.000   S
Y06         8.870   1.000   P
Y06        15.680   1.000   S
Y09         7.870   1.000   P
Y09        12.250   1.000   S
Y40         7.860   1.000   P
Y40        12.150   1.000   S
# 2016 12 20  8  5 44.02  12.3492  141.7348   12.60 -2.00  0.00  0.00  0.00         44
Y85         8.980   1.000   P
Y85        13.740   1.000   S
Y06        10.060   1.000   P
Y40        11.010   1.000   P
Y09         9.990   1.000   P
# 2016 12 20  8 46 16.59  12.3478  141.4690    8.00 -2.00  0.00  0.00  0.00         45
Y03        10.420   1.000   P
Y03        18.330   1.000   S
Y07         7.300   1.000   P
Y07        12.890   1.000   S
Y06        12.410   1.000   P
Y06        22.930   1.000   S
Y40        16.410   1.000   P
Y40        27.660   1.000   S
Y09        11.240   1.000   P
Y09        19.430   1.000   S
# 2016 12 20 10 26 30.40  12.0168  141.4140   12.30 -2.00  0.00  0.00  0.00         46
Y03         4.610   1.000   P
Y03         7.940   1.000   S
Y85         6.630   1.000   P
Y06         7.600   1.000   P
Y09         6.630   1.000   P
Y40         6.630   1.000   P
# 2016 12 20 10 40 22.49  11.6728  141.4412    5.00 -2.00  0.00  0.00  0.00         47
Y09         9.430   1.000   P
Y09        16.860   1.000   S
Y03        22.370   1.000   S
Y85        14.560   1.000   P
Y07        11.490   1.000   P
Y07        16.940   1.000   S
Y06        10.590   1.000   P
Y06        18.410   1.000   S
Y40        12.500   1.000   P
# 2016 12 20 12 15 45.50  12.2427  141.3637   10.00 -2.00  0.00  0.00  0.00         48
Y03         3.560   1.000   P
Y85         1.490   1.000   P
Y85         4.270   1.000   S
Y06         2.490   1.000   P
Y09         2.520   1.000   P
# 2016 12 20 12 19 57.56  12.2603  141.5562   12.80 -2.00  0.00  0.00  0.00         49
Y09        15.080   1.000   S
Y03        10.170   1.000   P
Y03        15.880   1.000   S
Y06         5.430   1.000   P
Y07         4.560   1.000   P
Y07         4.720   1.000   S
# 2016 12 20 14 24 48.66  10.9335  142.0715   11.40 -2.00  0.00  0.00  0.00         50
Y09        27.320   1.000   P
Y09        32.530   1.000   S
Y03        43.840   1.000   S
Y85        30.370   1.000   P
Y07        27.330   1.000   P
Y40        25.360   1.000   S
# 2016 12 20 17 53  8.53  11.5423  141.8962   20.00 -2.00  0.00  0.00  0.00         51
Y85         4.480   1.000   P
Y09        15.460   1.000   S
Y06         8.910   1.000   P
Y06        15.770   1.000   S
Y40         3.470   1.000   P
Y40         5.860   1.000   S
# 2016 12 21  4 26  1.58  12.0703  141.4758   10.00 -2.00  0.00  0.00  0.00         52
Y03         6.410   1.000   P
Y85         6.410   1.000   P
Y07         7.510   1.000   P
Y09         6.450   1.000   P
Y06         6.440   1.000   P
Y06        18.170   1.000   S
Y40         7.370   1.000   P
Y40         9.400   1.000   S
# 2016 12 21  4 47  0.51  11.9383  141.3287   10.00 -2.00  0.00  0.00  0.00         53
Y03         1.690   1.000   P
Y03         2.250   1.000   S
Y85         7.510   1.000   P
Y40         7.440   1.000   P
# 2016 12 21  7 39  9.45  11.8147  141.1793   24.10 -2.00  0.00  0.00  0.00         54
Y03         4.650   1.000   P
Y03         8.360   1.000   S
Y07        14.420   1.000   P
